"filename", "language", "JavaScript", "JSON", "Environment Variables", "comment", "blank", "total"
"/media/hhpro/DL/Projects/LOT/lottery/server/app.js", "JavaScript", 35, 0, 0, 7, 1, 43
"/media/hhpro/DL/Projects/LOT/lottery/server/configs/config.env", "Environment Variables", 0, 0, 2, 0, 0, 2
"/media/hhpro/DL/Projects/LOT/lottery/server/logs/logger.js", "JavaScript", 16, 0, 0, 0, 2, 18
"/media/hhpro/DL/Projects/LOT/lottery/server/middlewares/validSignupCheck.js", "JavaScript", 0, 0, 0, 0, 1, 1
"/media/hhpro/DL/Projects/LOT/lottery/server/models/lotteryDescriptions.js", "JavaScript", 43, 0, 0, 0, 3, 46
"/media/hhpro/DL/Projects/LOT/lottery/server/models/lotteryImages.js", "JavaScript", 24, 0, 0, 0, 2, 26
"/media/hhpro/DL/Projects/LOT/lottery/server/models/lotterycard.js", "JavaScript", 35, 0, 0, 0, 2, 37
"/media/hhpro/DL/Projects/LOT/lottery/server/models/user.js", "JavaScript", 24, 0, 0, 0, 4, 28
"/media/hhpro/DL/Projects/LOT/lottery/server/package-lock.json", "JSON", 0, 3046, 0, 0, 1, 3047
"/media/hhpro/DL/Projects/LOT/lottery/server/package.json", "JSON", 0, 25, 0, 0, 1, 26
"/media/hhpro/DL/Projects/LOT/lottery/server/routes/auth.js", "JavaScript", 56, 0, 0, 13, 6, 75
"/media/hhpro/DL/Projects/LOT/lottery/server/routes/connection.js", "JavaScript", 7, 0, 0, 0, 2, 9
"/media/hhpro/DL/Projects/LOT/lottery/server/routes/lottery.js", "JavaScript", 16, 0, 0, 4, 4, 24
"Total", "-", 256, 3071, 2, 24, 29, 3382
